524288,1,1,128,1,1,
262144,1,1,128,1,1,
131072,1,1,128,1,1,
65536,1,1,128,1,1,
32768,1,1,128,1,1,
16384,1,1,128,1,1,
524288,1,1,64,1,1,
262144,1,1,64,1,1,
131072,1,1,64,1,1,
65536,1,1,64,1,1,
32768,1,1,64,1,1,
16384,1,1,64,1,1,
524288,1,1,256,1,1,
262144,1,1,256,1,1,
131072,1,1,256,1,1,
65536,1,1,256,1,1,
32768,1,1,256,1,1,
16384,1,1,256,1,1,
262144,1,1,32,1,1,
131072,1,1,32,1,1,
65536,1,1,32,1,1,
32768,1,1,32,1,1,
16384,1,1,32,1,1,
524288,1,1,512,1,1,
262144,1,1,512,1,1,
131072,1,1,512,1,1,
65536,1,1,512,1,1,
32768,1,1,512,1,1,
16384,1,1,512,1,1,
131072,1,1,16,1,1,
65536,1,1,16,1,1,
32768,1,1,16,1,1,
16384,1,1,16,1,1,
65536,1,1,8,1,1,
32768,1,1,8,1,1,
16384,1,1,8,1,1,
